company,title,link,status,date_applied
"
Versatile",Senior Product Manager ,https://www.linkedin.com/jobs/view/4109632020/,Applied ,2024-12-26
orca.ai,Senior Product Manager ,https://www.orca-ai.io/careers/co/israel/2D.E48/senior-product-manager/all/?coref=1.11.pDE_A216,Applied ,2024-12-28
Korro.ai,Senior Product Manager ,https://www.linkedin.com/jobs/view/4110969118/?alternateChannel=search&refId=D%2FZ%2FzXJVTyepVQAZ21rFfQ%3D%3D&trackingId=jWvQN17AKmWxADt3aeUwiQ%3D%3D,Applied,2024-12-30
Synk,Staff Product Manager ,https://boards.greenhouse.io/embed/job_app?token=7747146002&gh_src=3f9b65652us&source=LinkedIn,Rejected ,2024-12-30
Ping Identity ,Senior Product Manager ,https://www.linkedin.com/jobs/view/4151342505/?refId=e89e34f8-cbcf-43dd-a931-87ab78c2afba&trackingId=DX6E8NBNRom8AH5hBfebIA%3D%3D,Applied ,2025-02-15
DoorLoop,Senior Product manager ,,Rejected ,2025-02-15
Cyera,Senior Product Manager ,https://www.linkedin.com/jobs/view/4149669912/?refId=d0b5645b-01cd-49f2-9c5d-43210d04d08a&trackingId=MXnCX0yiT0KxJJaIuw2Ncg%3D%3D,Got interview  ,2025-02-15
Snappy,Senior Product Manager ,https://www.linkedin.com/jobs/view/4133506891/?alternateChannel=search&refId=upRFX0d7PdZ%2BXEAKlU%2FaHA%3D%3D&trackingId=7SnRhqIvPlIk0AsicVmpLg%3D%3D,Rejected ,2025-02-15
Proofpoint,Staff Product Manager ,https://www.linkedin.com/jobs/view/4096797843/?refId=a406b2de-3083-4bcf-8cff-7f1011d09126&trackingId=Ro4XsqBUQlKHNEx0hQ1n5A%3D%3D,Applied ,2025-02-15
Root,Staff Product Manager ,https://www.linkedin.com/jobs/view/4136450129/?refId=62c5abc4-bea5-4d91-9e7f-6e93a7873fa2&trackingId=6B4zuMlhRdGMVdbHVawHWA%3D%3D,Rejected ,2025-02-15
HoneyBook ,Senior Product Manager - Core Product,https://job-boards.greenhouse.io/honeybook/jobs/6638545?gh_jid=6638545&gh_src=e5da7e281us,Rejected ,2025-02-17
OneBeat,Senior Product Manager ,https://www.comeet.com/jobs/1beat/0A.000/sr_-product-manager/81.05F,Applied ,2025-02-17
Helloheart,"Senior Product Manager, AI and Machine Learning",https://job-boards.greenhouse.io/helloheart/jobs/7789816002?gh_src=c82b04b02us,2 Stages and Rejected ,2025-02-17
Tricentis,Principal Product Manager,https://www.linkedin.com/jobs/view/4151369715/?alternateChannel=search&refId=x8oP2xf3zzgbxKbzhwcYjA%3D%3D&trackingId=x8oP2xf3zzgbxKbzhwcYjA%3D%3D,Applied ,2025-02-17
4M Analytics ,Senior Product Manager ,https://www.linkedin.com/jobs/view/4168411418/?alternateChannel=search&refId=eGlvggs4jFb5Lo2FrAD28A%3D%3D&trackingId=VSDgjSSnUMgaaaxN8C56zQ%3D%3D,,2025-02-17
Via ,,,Rejected ,2025-02-17
BMC,Senior Producy Manager GenAI ,https://www.linkedin.com/jobs/view/4171845223/?eBP=CwEAAAGVW3IghmiE0QudwpuPc8LKv5rCr558dFiY5EhhX2KMMuZx2zuxpaAnMbyUWG6ZIt8Yw91mUNGBCvHME4wbqiyLr2OitOjlJn-yCLBVA_jZRPef3TXm-fw7Bh2ZlTLfvvukOc3bSYYxv2WPGk-0K5BtCJkwpARSsptgzyBKXiadHgkFWRV-OyAIvct8EghFnV1hOzUPoJEopV3fvXjle15SZb1KO8P4YoAcXCIllpdRiN0GYw4nb-hU-RrPBS4wxrZZ98fGlvPjmpcUlT4vQwTnrfujxx7O2oMF_bXjU9qOCLniSNwQtyLN7VJcBULbqZRIoZvSgDigTIPFXcix1EYWKxrQntxzlhIJqYLIUGBpqjKfjqzWMKylvZSUSZA&refId=0504be93-cf7f-37c7-959b-a5a57a26c16d&trackingId=ozn9ENeKf5jNiGzlBPP77w%3D%3D,Rejected,2025-03-03
CIPIA,Senior Product manager ,,Rjectet,2025-03-03
Rubrik,Staff Product Manager ,https://www.linkedin.com/jobs/view/4176478350/?alternateChannel=search&refId=9xhyx8%2FLZ723AkDnYKXk8w%3D%3D&trackingId=MzlF47dbuJZ0fjQsezqq5g%3D%3D,Rejected,2025-03-08
Flare ,Senior Product manager ,,Applied ,2025-03-08
Pixellot,Senior Product Manager,https://www.pixellot.tv/positions/job_20250305141135_EWXHVT3DRY7L39FM,Applied,2025-03-10
Komodor,Senior Product Manager - Ai Product,https://komodor.com/job/6E.152/senior-product-manager-ai-products/?coref=1.11.p74_441F,Rejected ,2025-03-10
Unity,Senior Product Manager ,https://unity.com/careers/positions/5978806?gh_jid=5978806&gh_src=ilfw6o,Rejected ,2025-03-10
Workiz,Senior Product manager ,https://www.workiz.com/careers/single-position/?position=DD.B3E&coref=1.11.p82_CCD,Screening interview/ Rejected ,2025-03-10
DataRails,,,Applied ,2025-03-10
Zoominfo,Pricipal Product Manager ,https://www.linkedin.com/jobs/view/4156736656/?alternateChannel=search&refId=bcuPH4VjXEwJjYQab6pNQA%3D%3D&trackingId=18fuKfvXtwAEW5jZql%2BHEw%3D%3D,Rejected ,2025-03-12
Varonis ,Senior Product Manager AI Cybersecurity,https://www.linkedin.com/jobs/view/4151643434/?alternateChannel=search&refId=9YhTNf0nDJZ9iERLLV373A%3D%3D&trackingId=oR%2F0mPiupHDxmVIJB7LK7Q%3D%3D,Rejected ,2025-03-12
Walnut,Senior Product Manager,https://www.linkedin.com/jobs/view/4080064043/?alternateChannel=search&refId=z1cUy2BXRV9ZRVG9nge4ag%3D%3D&trackingId=lxaqTKGOMivXEivdzWWYpg%3D%3D,Applied ,2025-03-13
Axonius II ,Senior Product Manager (Platfrom),https://www.linkedin.com/jobs/view/4180271577/?trackingId=h4sXF348RgsQGlv71HJB%2Bg%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3Db72318a7...eb3271f7%29&midToken=AQFDXzKHTsvN9A&midSig=2bSiGn1yi0_rE1&trk=eml-email_job_alert_digest_01-job_card-0-jobcard_body&trkEmail=eml-email_job_alert_digest_01-job_card-0-jobcard_body-null-9hgf9~m87zczv2~rk-null-null&eid=9hgf9-m87zczv2-rk&otpToken=MTMwMDE3ZTMxMjI3YzFjNWJlMmYwMmVlNDcxN2U3YmM4YWNjZDY0NzlmYTg4NTZjNzhjMjA5NmE0ZDVmNTlmN2Y3ZGZhYjgwNGFkNmYwZjI1NDkyYWI1Y2E3MDFlMjk3ZjAzY2VjYmFmM2ExYTA3MzI5ZGQsMSwx,Rejected ,2025-03-14
DemoStack,Senior Product Manager,https://www.linkedin.com/jobs/view/4181578646/?refId=ByteString(length%3D16%2Cbytes%3Db72318a7...eb3271f7)&trackingId=r%2FSlTBapVn0EaF3tVxrGUQ%3D%3D,Applied ,2025-03-14
Vi,Senior Product Manager ,https://www.linkedin.com/jobs/view/4180260615/?trackingId=quZk7V8XTo%2FM76Ja8JbwZg%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3Db72318a7...eb3271f7%29&midToken=AQFDXzKHTsvN9A&midSig=2bSiGn1yi0_rE1&trk=eml-email_job_alert_digest_01-job_card-0-jobcard_body&trkEmail=eml-email_job_alert_digest_01-job_card-0-jobcard_body-null-9hgf9~m87zczv2~rk-null-null&eid=9hgf9-m87zczv2-rk&otpToken=MTMwMDE3ZTMxMjI3YzFjNWJlMmYwMmVlNDcxN2U3YmM4YWNjZDY0NzlmYTg4NTZjNzhjMjA5NmE0ZDVmNTlmN2Y3ZGZhYjgwNGFkNmYwZjI1NDkyYWI1Y2E3MDFlMjk3ZjAzY2VjYmFmM2ExYTA3MzI5ZGQsMSwx,Applied ,2025-03-14
DoubleVerify,Senior Product Manager ,,Rejected ,2025-03-14
Airslate,Senior Product Manager ,https://www.linkedin.com/jobs/view/4184051535/?alternateChannel=search&refId=NotAvailable,Rejected ,2025-03-15
AU10tix,Senior Product Manager ,https://www.linkedin.com/jobs/view/4180262574/?refId=bc1d45c9-e982-4f01-8233-d81214909171&trackingId=y6fZ6j6wT7W1RBHC03S%2BOw%3D%3D,"Got call , Never retun back ",2025-03-15
Centrical ,Senior Product Manager ,https://www.linkedin.com/jobs/view/4172290759/?refId=d461ad94-c3d4-4344-932d-a41b61e94cf3&trackingId=DMOQ5eVYSP6ddVufu8s4%2FA%3D%3D,Full process - No Offer ,2025-03-15
Unframe AI,Senior Product Manager ,https://www.linkedin.com/jobs/search/?currentJobId=4130369690&f_C=103139389&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4130369690%2C4111411358%2C4171471706%2C4111409648%2C4111402948%2C4172980282%2C4184854083%2C4127505815%2C4174192835&trk=d_flagship3_company,Applied,2025-03-15
Hibob,Product Lead - Talent ,https://www.linkedin.com/jobs/view/4172638963/?alternateChannel=search&refId=VQn47gLM4s%2FhlMEgDIrt%2Fg%3D%3D&trackingId=JKpXD%2BFSt4ihFQGG0d0CKg%3D%3D,Applied,2025-03-16
Payoneer,Senior Product Manager,https://www.payoneer.com/careers/position/3999096/?gh_jid=3999096&gh_src=11e459421,Rejected ,2025-03-16
Nostromo Energy,Senior Product Manager,https://www.linkedin.com/jobs/view/4189586666/?alternateChannel=search&refId=weL5BBE4ssMKyrriGxq8JA%3D%3D&trackingId=u1%2FfGeHZxCUwOreiQF6nBQ%3D%3D,Rejected (Preferd job),2025-03-26
boltttech,Senior Product manager,https://www.linkedin.com/jobs/search/?currentJobId=4178557737&f_C=35881697&originToLandingJobPostings=4178557737%2C4178559776&trk=d_flagship3_company,Applied  ,2025-03-04
AI21labs,Lead Product Manager ,https://www.comeet.com/jobs/ai21/E6.001/lead-product-manager/2D.05E?coref=1.11.p66_C31D,Rejected ,2025-05-04
Dragontail systems ,Head of Product,https://www.linkedin.com/jobs/search/?currentJobId=4163539956&f_C=18124107&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4163539956%2C4186289322%2C4196037781%2C4104153497%2C4185265209&trk=d_flagship3_company,Applied ,2025-05-04
JVP,Head of Product,https://www.comeet.com/jobs/jvp/35.00E/head-of-product/7B.458?coref=1.11.p07_251B,Applied ,2025-05-04
Overseee,Senior Product Manager (AI product),https://www.linkedin.com/jobs/view/4212172909/?alternateChannel=search&refId=QW5hzvn4WlMR4D3qSU8c1g%3D%3D&trackingId=5qb%2FvP89CipSLGzSgJl4%2BA%3D%3D,Applied ,2025-04-19
Guardz,Senior Product Manger,https://www.linkedin.com/jobs/view/4203700626/?alternateChannel=search&refId=nBj2Kfh4VxtE2T0kzEN6iA%3D%3D&trackingId=bc3ak972WmDeh8hCjxholQ%3D%3D,Applied ,2025-04-20
Vimeo ,Senior Product Manger,"Principal Product Manager, Marketing Solution",Applied ,2025-04-20
GreenRoad,Senior Product Manager,https://www.linkedin.com/jobs/view/4196675705/?refId=f1610d84-ecf6-4522-8b5c-3b43a53e3169&trackingId=QmOu%2BBovTKW8lp4EH%2F9y2A%3D%3D,Rejected ,2025-04-23
Aiagency,Senior Product Manager ,https://www.linkedin.com/jobs/view/4210704783/?alternateChannel=search&refId=lNxL8eMYe59TM0TqqvsUHQ%3D%3D&trackingId=qp31fakygVTzY7SUxCPmlA%3D%3D,Applied ,2025-04-23
Vhive (Via Dialog),Senior Product Manager ,,Rejected after 3 interviwes ,2025-04-24
Tailormed,Senior Product manager - Data and AI ,https://tailormed.co/careers/co/israel-tel-aviv-hybrid/2F.B46/senior-product-manager-data-and-ai/all/,Applied,2025-04-25
Startup Nation Central,Director of Product management,https://startupnationcentral.org/careers/7B.550/,Applied,2025-04-25
Ex.Co,Senior Product Manager ,https://www.linkedin.com/jobs/view/4212086443/?alternateChannel=search&refId=dhiFfFTPVt%2Bce4X6x4c2Ew%3D%3D&trackingId=isOuXezuZpgdh2r9hHy1IQ%3D%3D,Applied,2025-04-25
Jfrog ,Senior Product Manager ,https://join.jfrog.com/job/6639089-senior-product-manager/?gh_src=526d35e41us,Applied ,2025-05-06
Honeybook II,Senior Product Manager ,https://job-boards.greenhouse.io/honeybook/jobs/6638545?gh_jid=6638545&gh_src=e5da7e281us,Rejected,2025-05-06
Duda,Senior Product Manager ,https://www.duda.co/careers/6564326003?gh_jid=6564326003,Applied,2025-05-06
Vee.com,Director of Product Management ,https://www.linkedin.com/jobs/view/4217829251/?refId=KMld8yy0Saqh2%2FgLbS55pw%3D%3D&trackingId=kyBuNwGFS2W69kPo%2FKwY%2FA%3D%3D,Applied,2025-05-06
Control Up ,Senior Product Manager – AI ,https://www.linkedin.com/jobs/view/4211619153/?trackingId=&refId=&midToken=AQFDXzKHTsvN9A&midSig=3mrMxdTaVIcrM1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-jobcard_body&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-jobcard_body-null-9hgf9~mae78r9y~ta-null-null&eid=9hgf9-mae78r9y-ta&otpToken=MTMwMDE3ZTMxMjI3YzFjNWJlMmYwMmVlNDAxOGU0YmM4ZGNmZDA0MjlmYTg4NTZjNzhjMjA5NmE0ZDVmNTlmN2Y3ZGY5ZmUxNTJjY2QzZmY1MGE0MThiMjc5Zjk4ODU0MmQyYzIzMTQ4OGUxN2Q4Y2FhYjUsMSwx,Applied ,2025-05-07
Flarion ,Senior Product Manager – AI ,https://www.linkedin.com/jobs/view/4222327828/?refId=738136e9-ebd8-444a-a866-23a6a17a28c7&trackingId=yVpHcZXfQtezGVahHP92WQ%3D%3D,Applied ,2025-05-07
CyberArk,Senior Product Manager – AI ,https://www.linkedin.com/jobs/view/4204345817/?alternateChannel=search&refId=L6JIOD2CBQsIF12xZk89qg%3D%3D&trackingId=ZANPeZCmmlmNjxRdqs%2FbVw%3D%3D,Applied ,2025-05-07
Thales,Senior Product Manager,https://www.linkedin.com/jobs/view/4196765667/?alternateChannel=search&refId=ZJQyMn3YpCxWLcBG9D0Qiw%3D%3D&trackingId=Ei6JFMf4RsUHQ5G4KuPiRQ%3D%3D,Rejected,2025-05-10
Tenable ,Senior Product Manager,https://www.linkedin.com/jobs/view/4202745794/?refId=2f39f244-a342-4339-9791-dfab9ef63856&trackingId=ohZktBcqQ2GVTTiNuquhnw%3D%3D,Rejected ,2025-05-10
Navina,Senior Product Manager,https://www.comeet.com/jobs/navina/E6.00C/senior-product-manager/63.653?coref=1.10.r3F_416&t=1746905926997,Applied ,2025-05-11
Anyword,Senior Product Manager ,https://www.anyword.com/careers?coref=1.10.s87_501#open-position,Applied ,2025-05-11
Pathlock ,Senior Product Manager ,https://www.linkedin.com/jobs/view/4225800936/?refId=849efc81-e5ba-4112-be00-f1cddc588b8f&trackingId=1z%2FklT5zRQ6yC9heI34gLg%3D%3D,Applied ,2025-05-16
Panax,Senior Product Manager ,https://team8.vc/careers/panax-ai-product-manager/,Applied ,2025-05-16
Ivix,Senior Product Manager,https://team8.vc/careers/product-manager-3/,Applied ,2025-05-16
eTribez,Senior Product Manager,https://www.linkedin.com/jobs/view/4226403908/,Applied ,2025-05-17
Go7,Product Group lead,https://careers.go7.io/o/product-manager-lead/c/new,Applied ,2025-05-26
Airis Lab ,Senior AI Product Manger,ttps://www.linkedin.com/jobs/view/4227315630/?alternateChannel=search&refId=3OXATiABnvx1A%2FWADqyPYA%3D%3D&trackingId=81xHwAFpD7xFnLHUKO%2FdeQ%3D%3D,Applied ,2025-05-31
Fullpath,Group Product Lead,https://www.fullpath.com/careers/co/israel-tel-aviv/47.75E/group-product-manager/all/?coref=1.11.p45_6610#positions,Rejected,2025-06-02
BridgeWise,Senior Product Manager,https://www.linkedin.com/jobs/view/4240163159/?refId=uvA7dvXxTSO%2BXWV0pWpXcw%3D%3D&trackingId=nG84yoyMRzipcQNCSbcj2Q%3D%3D,Applied ,2025-06-03
AIDoc,Product Analyset ,https://www.aidoc.com/about/careers/co/tel-aviv/1D.545/strategic-product-analyst/all/?coref=1.11.p58_0013#positions?coref=1.11.p68_B519,Applied ,2025-06-03
Assured Allias,Senior Product Manager ,https://www.linkedin.com/jobs/view/4242220363/?alternateChannel=search&refId=c2ETKeDjcEye4TYyyoe%2FzQ%3D%3D&trackingId=S8ggvEWGiYQnPW2hbMTNkg%3D%3D,Applied ,2025-06-03
Vertic,Senior Product Manager ,https://www.comeet.com/jobs/vetric/A9.009/senior-product-manager/59.754?coref=1.11.p7A_661F,Applied ,2025-06-04
Rhino Federated Computing ,Senior Product Manager ,https://www.linkedin.com/jobs/view/4243818391/?refId=385386d9-b8fd-4c93-99ea-2efe9c1bc746&trackingId=hh%2B2kPYJQyy%2B%2FuoJH%2Fk4TQ%3D%3D,Applied ,2025-06-05
Lema Ai,Senior Product Manager ,https://www.linkedin.com/jobs/view/4244602856/?alternateChannel=search&refId=s5ZrQhfJ7%2Bfzs9l3pWL3Mw%3D%3D&trackingId=%2FW9k1WLfs1CM9z6SE5PIYw%3D%3D,Applied ,2025-06-06
Flexra,Senior Product Manager ,https://www.linkedin.com/jobs/view/4181822634/?alternateChannel=search&refId=LQGaaqh%2Bqwzria31uRT3Xg%3D%3D&trackingId=mZS8VC6SdLs6OkhDbF7CWw%3D%3D,Applied ,2025-06-10
Deloitte,Senior Platfrom Product Manager,https://www.linkedin.com/jobs/view/4200135288/?alternateChannel=search&refId=wIoMYmbvpbSHiJKSbGy3Zw%3D%3D&trackingId=7S1lCRvOFLpqprwpnmeCkQ%3D%3D,Applied ,2025-06-10
Flarion ,Senior Product Manager ,https://www.linkedin.com/jobs/view/4244805403/?alternateChannel=search&refId=ayWgVNanuZ0xMBDY5h7YqQ%3D%3D&trackingId=Pz4A64lQBR4qf4jz%2Bd2deQ%3D%3D,Applied ,2025-06-10
Global-E,Senior Product manager - Data and AI ,https://www.global-e.com/careers/54-057/?coref=1.11.p18_B516,Rejected,2025-06-10
Gong ,Senior Product Manager,https://job-boards.greenhouse.io/gongio/jobs/4572912006?gh_src=fd070d216us,Rejected,2025-06-10
HiBob,Product Team Lead,https://www.linkedin.com/jobs/view/4240157531/?refId=4cf800d9-e171-4670-ae07-e2f94ab50e85&trackingId=ue2U8yOgRlOhtudqcVz8Qw%3D%3D,Applied ,2025-06-12
Imagen,Head of Product,https://imagen-ai.com/careers/co/careers/5E.35E/head-of-product/all/?coref=1.11.p3F_C514,Applied ,2025-06-15
Zencity,Senior Product Manager,https://zencity.io/careers/co/product/6D.656/product-manager/all/?coref=1.11.p5C_F51B,Applied ,2025-06-15
AirSlote II,Director of Product Management,https://jobs.lever.co/airslate/c387977b-79f7-419c-af60-4c218604532e/apply?lever-source=LinkedIn,Rejected,2025-06-16
MediaOcean ,Director of Product Management,https://www.linkedin.com/jobs/view/4205295335/?refId=dab714bb-cfcd-4dbd-ad8a-85358ff6e794&trackingId=9nlcu2IcRjuJwQSYF2LLQg%3D%3D,Applied,2025-06-17
Fintastic,Director of Product Management,https://www.linkedin.com/jobs/view/4253687025/?alternateChannel=search&refId=jrFZS6asSeNz869Q5uyGfQ%3D%3D&trackingId=ByzNXcMjjWfMAhpgWSzArA%3D%3D,Applied,2025-06-21
"
Talentedge Ltd",Director of Product Management ,https://www.linkedin.com/jobs/view/4254603281/?refId=ad7c97a1-f59a-4267-824f-76f6e50b830a&trackingId=JA3JNU67SJSL0582I3jOEQ%3D%3D,Applied,2025-06-30
Sitetracker ,Senior Product Manager ,https://www.linkedin.com/jobs/view/4203329843/?alternateChannel=search&refId=NotAvailable,Applied,2025-06-30
Nisha Sylvia,Senior Product Manager ,https://www.linkedin.com/jobs/view/4256298960/?refId=Hq2ROcs%2FQsyBroQsCee3xA%3D%3D&trackingId=Hq2ROcs%2FQsyBroQsCee3xA%3D%3D,Applied,2025-07-01
Ibex,Senior Product Manager ,https://ib1.recruitee.com/o/product-manager-il,Applied,2025-07-01
Ienso,Senior Product Manager ,https://recruitgarden.com/vacancy/technical-product-owner/,Applied,2025-07-01
